what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415381303574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381306147
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415381308531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381327110
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415381327120
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415381328449
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415381367059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381473782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381487132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381516163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381529296
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415381530856
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415381531715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381535941
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415381536735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381544380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381569453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381619555
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415381619565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381623258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381688177
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415381705748
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415381719952
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415381768321
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415381794789
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415381813788
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415381829940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1415381873570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1415381876173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1415381876683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1415381884365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415381889746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1415381897141
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415381900265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415381903899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381906974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381907854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381910555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381911371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381913050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381913994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381914504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381931937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381933207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381937634
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415381943973
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415381944900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381946647
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x1001290, --id=0x12345678, --timestamp=1415101208, /cygdrive/c/Users/Pablo/PFC/software/frec_gen/frec_gen.elf] return code: 134",1415381950526
error,log,,,"Downloading ELF Process failed",1415381950526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381953269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381955222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381959434
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415381962036
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415381962906
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415381967908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381968966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415381972416
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415381991703
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415382014648
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415382020111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1415382067068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415382077223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415382079183
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415382083365
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415382084265
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415382089224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415382095309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415382101496
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415382138169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415382150570
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415382164990
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415382165886
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415382170850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415382180171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415382185157
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415382213956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415382255352
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415382258757
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415382259657
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415382264624
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415382293240
