what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1415102652380
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1415102652380
java.specification.name,sysinfo,,,"Java Platform API Specification",1415102652380
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1415102652380
java.specification.version,sysinfo,,,"1.6",1415102652380
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1415102652380
java.version,sysinfo,,,"1.6.0_23",1415102652380
java.vm.info,sysinfo,,,"mixed mode",1415102652380
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1415102652380
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1415102652380
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1415102652380
java.vm.specification.version,sysinfo,,,"1.0",1415102652380
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1415102652380
java.vm.version,sysinfo,,,"19.0-b09",1415102652380
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1415102653000
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1415102660816
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1415102660976
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1415102660976
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1415102660996
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1415102660996
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415102662696
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1415102662986
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1415102662986
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1415102662986
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1415102662986
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1415102662996
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415102698099
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415102717988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415102720859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415102745178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415102752611
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415102755245
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415102756110
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415102760941
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415102828792
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1415102833046
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1415102838226
