what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415694536009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415694584759
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415694587286
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415694592268
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415694596374
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415694600691
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415694600731
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415694611414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1415694670557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1415694674419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415694695249
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415694698530
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415694699372
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415694704363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415694711749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415694733090
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415694735532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415694740290
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415694740500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415694834961
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415694839035
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415694879035
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415694907160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415694923624
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415694927162
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415694928065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415694929163
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x1001290, --id=0x12345678, --timestamp=1415101208, /cygdrive/c/Users/Pablo/PFC/software/frec_gen/frec_gen.elf] return code: 134",1415694935833
error,log,,,"Downloading ELF Process failed",1415694935833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415694935933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415694936703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415694936778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415694937328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415694942008
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415694943553
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415694944429
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415694949424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415694949494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415694977211
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415694981396
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1415694981668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415694983140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415694983853
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415694986736
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415694987612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415694987872
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415694992612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415695018331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415695020302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415695024401
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415695027781
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415695032831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415695035516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415695070567
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415695070587
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415695128189
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415695129032
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415695129442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415695154138
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415695180065
