what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1415721757179
java.specification.name,sysinfo,,,"Java Platform API Specification",1415721757179
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1415721757179
java.specification.version,sysinfo,,,"1.6",1415721757179
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1415721757179
java.version,sysinfo,,,"1.6.0_23",1415721757179
java.vm.info,sysinfo,,,"mixed mode",1415721757179
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1415721757179
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1415721757179
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1415721757179
java.vm.specification.version,sysinfo,,,"1.0",1415721757179
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1415721757179
java.vm.version,sysinfo,,,"19.0-b09",1415721757179
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1415721757589
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1415721760010
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1415721760170
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1415721760170
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1415721760180
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1415721760190
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415721760230
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415721762068
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1415721762408
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1415721762408
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1415721762408
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1415721762408
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1415721762418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415721763618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415721857654
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415721858787
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415721858827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415721877808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415721890423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415721893945
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415721896705
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415721897595
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1415721902574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415721904846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415722126598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415722155855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415722156698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415722158978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415722402599
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415722404773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415722409836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415722417674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415722421810
error,log,,,"Unable to validate connection settings.",1415722430471
error,log,,,"Unable to validate connection settings.",1415722430471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415722430511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415722432371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415722433663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415722437143
error,log,,,"Unable to validate connection settings.",1415722444527
error,log,,,"Unable to validate connection settings.",1415722444527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415722444547
